Package,Item,Title,size
lexicon,pos_df_irregular_nouns,Irregular Nouns Word Dataframe,17208
palmerpenguins,penguins,"Size measurements for adult foraging penguins near Palmer Station, Antarctica",17208
seriation,Wood,Gene Expression Data for Wood Formation in Poplar Trees,17192
afex,laptop_urry,"Replication of Laptop Note Taking Study (Urry et al. 2021, Psych. Science)",17176
mlbench,Zoo,Zoo Data,17152
seriation,Zoo,Zoo Data Set,17152
ade4,skulls,Morphometric Evolution,16976
wooldridge,murder,murder,16976
jqr,commits,GitHub Commits Data,16952
FactoMineR,JO,Number of medals in athletism during olympic games per country,16912
ade4,ecg,Electrocardiogram data,16848
forecast,taylor,Half-hourly electricity demand,16832
survival,diabetic,Ddiabetic retinopathy,16776
MASS,Sitka89,Growth Curves for Sitka Spruce Trees in 1989,16768
archdata,Snodgrass,"House pits at the Mississippian Snodgrass site in Butler County, Missouri, U.S.A.",16688
wooldridge,ceosal1,ceosal1,16616
ade4,fruits,Pair of Tables,16592
mclust,wreath,Data Simulated from a 14-Component Mixture,16568
survival,logan,Data from the 1972-78 GSS data used by Logan,16504
rpart,cu.summary,Automobile Data from 'Consumer Reports' 1990,16472
TH.data,birds,Habitat Suitability for Breeding Bird Communities,16352
tseries,NelPlo,Nelson-Plosser Macroeconomic Time Series,16336
AER,MarkPound,DEM/GBP Exchange Rate Returns,16256
urca,Raotbl1,"Data set used by Dickey, Jansen and Thornton (1994)",16192
vegan,varespec,Vegetation and environment in lichen pastures,16192
wooldridge,ezanders,ezanders,16192
wooldridge,fertil3,fertil3,16120
vcd,Hitters,Hitters Data,16096
factoextra,poison,Poison,16072
FactoMineR,poison,Poison,16072
datasets,infert,Infertility after Spontaneous and Induced Abortion,16064
modeldata,bivariate_test,Example bivariate classification data,15832
AER,FrozenJuice,Price of Frozen Orange Juice,15808
wooldridge,vote1,vote1,15736
modeldata,penguins,Palmer Station penguin data,15728
datasets,attenu,The Joyner-Boore Attenuation Data,15648
ggstatsplot,bugs_long,"Tidy version of the ""Bugs"" dataset.",15624
statsExpressions,bugs_long,"Tidy version of the ""Bugs"" dataset.",15624
prabclus,kykladspecreg,Snail presence-absence data from Aegean sea,15568
vegan,sipoo,Birds in the Archipelago of Sipoo (Sibbo and Borgå),15480
TSP,USCA50,USCA312/USCA50 - 312/50 cities in the US and Canada,15440
evclass,glass,Glass dataset,15416
ade4,meaudret,"Ecological Data : sites-variables, sites-species, where and when",15384
MASS,Pima.te,Diabetes in Pima Indian Women,15360
DescTools,d.units,Unit Conversion and Metrix Prefixes,15016
mclust,diabetes,Diabetes Data (flawed),15016
ade4,meau,"Ecological Data : sites-variables, sites-species, where and when",14984
Lahman,AwardsManagers,AwardsManagers table,14968
strucchange,BostonHomicide,Youth Homicides in Boston,14960
wooldridge,fish,fish,14936
ade4,zealand,Road distances in New-Zealand,14920
urca,Raotbl2,"Data set used by Dickey, Jansen and Thornton (1994)",14904
AER,USStocksSW,"Monthly US Stock Returns (1931-2002, Stock & Watson)",14880
wooldridge,return,return,14856
ade4,rhone,Physico-Chemistry Data,14832
archdata,BarmoseI.pp,"Piece plotted artifacts from Barmose I, South Zealand, Denmark",14824
XLConnect,swissfranc,"Historical Exchange Rates: CHF vs EUR, USD and GBP",14752
lexicon,hash_emoticons,Emoticons,14600
PerformanceAnalytics,managers,Hypothetical Alternative Asset Manager and Benchmark Data,14568
boot,coal,Dates of Coal Mining Disasters,14472
urca,Raotbl4,Data set used by Pierre Perron (1994),14424
WRS2,eurosoccer,European Soccer Leagues,14408
ade4,sarcelles,Array of Recapture of Rings,14376
insight,fish,Sample data set,14344
parameters,fish,Sample data set,14344
survival,cgd0,Chronic Granulotomous Disease data,14288
flexmix,patent,Patents and R&D Spending,14240
lmtest,Mandible,Mandible Data,14200
tidyr,cms_patient_care,Data from the Centers for Medicare & Medicaid Services,14192
ade4,dunedata,Dune Meadow Data,14152
lexicon,sw_dolch,Leveled Dolch List of 220 Common Words,14136
modeldata,two_class_example,Two class predictions,14120
yardstick,two_class_example,Two Class Predictions,14120
MASS,Pima.tr2,Diabetes in Pima Indian Women,14080
dslabs,heights,Self-reported Heights in Inches,13960
carData,Wong,Post-Coma Recovery of IQ,13920
afex,obk.long,O'Brien Kaiser's Repeated-Measures Dataset with Covariate,13912
ade4,pap,Taxonomy and quantitative traits of carnivora,13904
mosaicData,SnowGR,"Snowfall data for Grand Rapids, MI",13888
carData,Soils,Soil Compositions of Physical and Chemical Characteristics,13848
urca,Raotbl7,Data set used by Glenn Otto (1994),13752
datasets,Seatbelts,Road Casualties in Great Britain 1969-84,13744
radiant.basics,salary,Salaries for Professors,13704
survival,bladder,Bladder Cancer Recurrences,13704
gamlss.data,cable,The cable data set,13688
mclust,ex4.4.1,Simulated Example Datasets From Baudry et al. (2010),13648
lattice,barley,Yield data from a Minnesota barley trial,13584
ade4,macaca,Landmarks,13552
carData,Prestige,Prestige of Canadian Occupations,13424
carData,Depredations,Minnesota Wolf Depredation Data,13392
urca,Raotbl5,Data set used by Pierre Perron (1994),13384
MASS,UScereal,Nutritional and Marketing Information on US Cereals,13376
flexmix,seizure,Epileptic Seizure Data,13368
FactoMineR,mortality,The cause of mortality in France in 1979 and 2006,13288
ggraph,highschool,Friendship among high school boys,13128
survival,jasa1,Stanford Heart Transplant data,13128
MASS,crabs,Morphological Measurements on Leptograpsus Crabs,12992
mclust,cross,Simulated Cross Data,12984
ipred,DLBCL,Diffuse Large B-Cell Lymphoma,12960
lexicon,constraining_loughran_mcdonald,Loughran-McDonald Constraining Words,12952
lexicon,sw_fry_200,Fry's 200 Most Commonly Used English Words,12864
archdata,EWBurials,"Ernest Witte Cemetery, Austin, County, Texas, U.S.A.",12784
ade4,taxo.eg,Examples of taxonomy,12776
carData,MplsDemo,"Minneapolis Demographic Data 2015, by Neighborhood",12704
MASS,epil,Seizure Counts for Epileptics,12704
nlme,BodyWeight,Rat weight over time for different diets,12672
nlme,Nitrendipene,Assay of nitrendipene,12584
carData,Salaries,Salaries for Professors,12528
networkD3,MisNodes,Les Miserables character nodes,12528
dslabs,brexit_polls,Brexit Poll Data,12520
Lahman,ManagersHalf,ManagersHalf table,12504
MASS,shuttle,Space Shuttle Autolander Problem,12480
AppliedPredictiveModeling,permeability,Permeability Data,12440
urca,Raotbl3,Data set used by Holden and Perman (1994),12408
mclust,banknote,Swiss banknotes data,12392
carData,Migration,Canadian Interprovincial Migration Data,12368
ggpubr,gene_citation,Gene Citation Index,12352
AER,Electricity1970,Cost Function of Electricity Producers 1970,12328
FactoMineR,wine,Wine,12320
MASS,bacteria,Presence of Bacteria after Drug Treatments,12312
archdata,RBGlass1,"Romano-British Glass, Major and Minor Elements",12304
ade4,euro123,Triangular Data,12272
lexicon,hash_valence_shifters,Valence Shifters,12232
AER,USMacroSW,"US Macroeconomic Data (1957-2005, Stock & Watson)",12184
TH.data,bodyfat,"Prediction of Body Fat by Skinfold Thickness, Circumferences, and Bone Breadths",12168
datasets,Loblolly,Growth of Loblolly pine trees,12120
ade4,ours,A table of Qualitative Variables,12000
dslabs,temp_carbon,"Global temperature anomaly and carbon emissions, 1751-2018",11992
plotrix,soils,Soil texture data from 125 soils,11976
ade4,palm,Phylogenetic and quantitative traits of amazonian palm trees,11944
wooldridge,openness,openness,11936
archdata,Fibulae,"Bronze La Tene fibulae from Munsingen, Switzerland",11912
nlme,Oxide,Variability in Semiconductor Manufacturing,11888
boot,cav,Position of Muscle Caveolae,11880
clue,Kinship82_Consensus,Gordon-Vichi Kinship82 Consensus Partition Data,11848
coin,photocar,Multiple Dosing Photococarcinogenicity Experiment,11840
DescTools,tarot,Datasets for Probabilistic Simulation,11752
tidyr,us_rent_income,US rent and income data,11752
lattice,environmental,Atmospheric environmental conditions in New York City,11752
nlme,Ovary,Counts of Ovarian Follicles,11656
archdata,MaskSite,"Mask Site, Alaska, USA",11640
nlme,Fatigue,Cracks caused by metal fatigue,11640
HardyWeinberg,Mourant,Genotype frequencies for blood group locus MN,11632
modeldata,parabolic,Parabolic class boundary data,11632
nlme,Pixel,X-ray pixel intensities over time,11560
carData,Leinhardt,Data on Infant-Mortality,11488
TH.data,geyser,Old Faithful Geyser Data,11472
strucchange,durab,US Labor Productivity,11448
mclust,thyroid,UCI Thyroid Gland Data,11384
mice,mammalsleep,Mammal sleep data,11328
archdata,Olorgesailie.sub,"Stone tool subclasses, Olorgesailie, Kenya",11272
gamlss.data,meta,A Meta Analysis on Smoking Cessation,11264
urca,finland,"Data set for Finland, Johansen and Juseliues (1990)",11256
lexicon,sw_python,Python Stopword List,11240
coin,treepipit,Tree Pipits in Franconian Oak Forests,11224
nlme,Assay,Bioassay on Cell Culture Plate,11200
mgcv,columb,Reduced version of Columbus OH crime data,11184
urca,denmark,"Data set for Denmark, Johansen and Juselius (1990)",11168
mosaicData,Utilities,Utility bills,11112
VIM,toydataMiss,Simulated toy data set for examples,11104
MASS,Sitka,Growth Curves for Sitka Spruce Trees in 1988,11088
multcomp,mtept,Multiple Endpoints Data,11080
wooldridge,prminwge,prminwge,11008
boot,urine,Urine Analysis Data,10936
ade4,arrival,Arrivals at an intensive care unit,10920
survival,kidney,Kidney catheter data,10912
carData,Freedman,Crowding and Crime in U. S. Metropolitan Areas,10880
carData,Ericksen,The 1980 U.S. Census Undercount,10872
dslabs,stars,Physical Properties of Stars,10864
HDclassif,Crabs,Morphological Measurements on Leptograpsus Crabs.,10768
wooldridge,consump,consump,10696
jomo,sldata,A simulated single level dataset,10688
wooldridge,approval,approval,10688
nlme,Alfalfa,Split-Plot Experiment on Varieties of Alfalfa,10688
tseries,nino,Sea Surface Temperature (SST) Nino 3 and Nino 3.4 Indices,10616
ade4,maples,Phylogeny and quantitative traits of flowers,10608
lexicon,pos_preposition,Preposition Words,10584
datasets,randu,Random Numbers from Congruential Generator RANDU,10584
nlme,Muscle,Contraction of heart muscle sections,10568
ade4,escopage,K-tables of wine-tasting,10560
nlme,IGF,Radioimmunoassay of IGF-I Protein,10552
carData,Ginzberg,Data on Depression,10536
FactoMineR,poison.text,Poison,10536
quantreg,Mammals,Garland(1983) Data on Running Speed of Mammals,10512
radiant.basics,consider,Car brand consideration,10512
vegan,dune,Vegetation and Environment in Dutch Dune Meadows.,10504
lme4,cake,Breakage Angle of Chocolate Cakes,10488
mclust,ex4.1,Simulated Example Datasets From Baudry et al. (2010),10448
mclust,ex4.2,Simulated Example Datasets From Baudry et al. (2010),10448
urca,UKconinc,Data set for the United Kingdom,10440
sentimentr,sam_i_am,Sam I Am Text,10416
archdata,RBPottery,Romano-British Pottery,10376
MASS,VA,Veteran's Administration Lung Cancer Trial,10376
maps,state.fips,FIPS state codes for US 48 State Map,10272
MASS,npr1,US Naval Petroleum Reserve No. 1 data,10232
lexicon,key_contractions,Contraction Conversions,10144
wooldridge,beveridge,beveridge,10144
TH.data,sphase,S-phase Fraction of Tumor Cells,10136
boot,motor,Data from a Simulated Motorcycle Accident,10104
mice,mnar_demo_data,MNAR demo data,10080
MASS,Pima.tr,Diabetes in Pima Indian Women,10080
radiant.design,rndnames,100 random names,10056
datasets,Theoph,Pharmacokinetics of Theophylline,10000
ade4,carni70,Phylogeny and quantitative traits of carnivora,9984
datasets,CO2,Carbon Dioxide Uptake in Grass Plants,9976
vcd,Arthritis,Arthritis Treatment Data,9960
radiant.basics,newspaper,Newspaper readership,9928
rpart,car.test.frame,Automobile Data from 'Consumer Reports' 1990,9928
ade4,rankrock,Ordination Table,9912
mosaicData,Riders,Volume of Users of a Massachusetts Rail Trail,9912
nlme,Gun,Methods for firing naval guns,9888
emmeans,ubds,Unbalanced dataset,9864
ipred,Smoking,Smoking Styles,9848
robustbase,possum.mat,Possum Diversity Data,9840
latticeExtra,SeatacWeather,Daily Rainfall and Temperature at the Seattle-Tacoma Airport,9832
strucchange,PhillipsCurve,UK Phillips Curve Equation Data,9816
ade4,mjrochet,Phylogeny and quantitative traits of teleos fishes,9800
vcd,Lifeboats,Lifeboats on the Titanic,9800
ade4,yanomama,Distance Matrices,9752
dslabs,murders,US gun murders by state for 2010,9712
vegan,mite.env,Oribatid Mite Data with Explanatory Variables,9696
AER,USCrudes,US Crudes Data,9688
radiant.multivariate,city2,City distances 2,9672
boot,catsM,Weight Data for Domestic Cats,9640
modelr,sim4,Simple simulated datasets,9624
datasets,Harman74.cor,Harman Example 7.4,9624
psych,Tal.Or,Data set testing causal direction in presumed media influence,9616
psych,Tal_Or,Data set testing causal direction in presumed media influence,9616
boot,acme,Monthly Excess Returns,9616
wooldridge,crime3,crime3,9592
nlme,Relaxin,Assay for Relaxin,9576
AER,Grunfeld,Grunfeld's Investment Data,9504
carData,Florida,Florida County Voting,9504
klaR,countries,Socioeconomic data for the most populous countries.,9440
survival,bladder2,Bladder Cancer Recurrences,9400
archdata,Arnhofen,Point pattern of mining pits from the Neolithic chert mine at Arnhofen,9352
plotrix,death_reg,Death registrations from 1996 to 2010,9344
forecast,gold,Daily morning gold prices,9328
datasets,USJudgeRatings,Lawyers' Ratings of State Judges in the US Superior Court,9328
prabclus,waterdist,Overwater distances between islands in the Aegean sea,9312
FactoMineR,decathlon,Performance in decathlon (data),9304
nlme,Machines,Productivity Scores for Machines and Workers,9304
nlme,ergoStool,Ergometrics experiment with stool types,9304
gamlss.data,bush2000,The Bush 2000 election data,9296
wooldridge,infmrt,infmrt,9296
evd,venice,Largest Sea Levels in Venice,9240
gamlss.data,hodges1,Hodges data,9152
strucchange,USIncExp,Income and Expenditures in the US,9152
boot,manaus,Average Heights of the Rio Negro river at Manaus,9104
nlme,PBG,Effect of Phenylbiguanide on Blood Pressure,9064
HardyWeinberg,JPTmultiallelicsChrX,Multi-allelic X-chromosomal variants of the Japanese population of the 1000 genomes project,9040
flexclust,Nclus,Artificial Example with 4 Gaussians,9016
flexmix,Nclus,Artificial Example with 4 Gaussians,9016
psych,Garcia,"Data from the sexism (protest) study of Garcia, Schmitt, Branscome, and Ellemers (2010)",9016
lexicon,pos_interjections,Interjections,8976
seriation,Psych24,Results of 24 Psychological Test for 8th Grade Students,8952
FactoMineR,geomorphology,geomorphology(data),8944
AER,GrowthSW,Determinants of Economic Growth,8936
rattle,locationsAUS,Daily weather observations from multiple Australian weather stations.,8904
urca,UKpppuip,Data set for the United Kingdom: ppp and uip,8896
wooldridge,traffic1,traffic1,8840
coin,alpha,Genetic Components of Alcoholism,8808
lattice,ethanol,Engine exhaust fumes from burning ethanol,8720
HardyWeinberg,JPTmultiallelicsChr7,Multi-allelic autosomal variants of the Japanese population of the 1000 genomes project,8672
irr,diagnoses,Psychiatric diagnoses provided by different raters,8632
radiant.model,catalog,Catalog sales for men's and women's apparel,8608
pROC,aSAH,Subarachnoid hemorrhage data,8576
datasets,morley,Michelson Speed of Light Data,8576
yarrr,pircharter,pircharter,8536
robustbase,possumDiv,Possum Diversity Data,8520
datasets,crimtab,Student's 3000 Criminals Data,8504
archdata,ESASites,Early Stone Age Sites - Norway,8496
datawizard,efc,Sample dataset from the EFC Survey,8488
wooldridge,fair,fair,8408
nFactors,dFactors,Eigenvalues from classical studies,8384
dslabs,greenhouse_gases,Greenhouse gas concentrations over 2000 years,8360
modeldata,oils,Fatty acid composition of commercial oils,8360
nlme,Meat,Tenderness of meat,8360
diptest,qDiptab,Table of Quantiles from a Large Simulation for Hartigan's Dip Test,8320
mlr,costiris.task,Iris cost-sensitive classification task.,8320
MASS,coop,Co-operative Trial in Analytical Chemistry,8320
ade4,acacia,Spatial pattern analysis in plant communities,8304
vegan,dune.taxon,Taxonomic Classification and Phylogeny of Dune Meadow Species,8272
datasets,DNase,Elisa assay of DNase,8256
labelled,dta_file,Datasets for testing,8248
multcomp,litter,Litter Weights Data Set,8240
pracma,brown72,Brownian Motion,8240
ggstatsplot,bugs_wide,"Wide-format version of the ""Bugs"" dataset.",8208
flexclust,dentitio,Dentition of Mammals,8192
mclust,ex4.4.2,Simulated Example Datasets From Baudry et al. (2010),8184
gamlss.data,abdom,Abdominal Circumference Data,8168
wooldridge,hprice1,hprice1,8152
ade4,ichtyo,Point sampling of fish community,8136
coin,hohnloser,Left Ventricular Ejection Fraction,8120
robustbase,CrohnD,Crohn's Disease Adverse Events Data,8120
HardyWeinberg,Alzheimer,Genotype frequencies for 70 SNPs related to Alzheimer's disease,8064
MASS,Melanoma,Survival from Malignant Melanoma,8056
wooldridge,admnrev,admnrev,8032
nlme,Oats,Split-plot Experiment on Varieties of Oats,8008
rpart,stagec,Stage C Prostate Cancer,8008
strucchange,monitorM1,German M1 Money Demand,7960
boot,gravity,Acceleration Due to Gravity,7896
wooldridge,intdef,intdef,7840
plotly,mic,Mic data,7832
lexicon,sw_loughran_mcdonald_short,Loughran-McDonald Short Stopword List,7824
boot,nodal,Nodal Involvement in Prostate Cancer,7816
WRS2,chile,Chile Heat and Length,7808
evd,sealevel2,Annual Sea Level Maxima at Dover and Harwich with Indicator,7784
carData,Baumann,Methods of Teaching Reading Comprehension,7752
MASS,muscle,Effect of Calcium Chloride on Muscle Contraction in Rat Hearts,7744
prabclus,siskiyou,Herbs of the Siskiyou Mountains,7736
archdata,RBGlass2,"Romano-British Glass, Trace Elements",7728
plotly,hobbs,Hobbs data,7696
robustbase,condroz,Condroz Data,7696
datasets,state.x77,US State Facts and Figures,7672
vcd,Rochdale,Rochdale Data,7640
WRS2,electric,The Electric Company,7640
modeldata,bivariate_val,Example bivariate classification data,7632
mosaicData,SAT,State by State SAT data,7600
mosaicData,RailTrail,Volume of Users of a Rail Trail,7536
cluster,chorSub,Subset of C-horizon of Kola Data,7520
mosaicData,KidsFeet,Foot measurements in children,7424
survival,rats2,Rat data from Gail et al.,7424
carData,States,Education and Related Statistics for the U.S. States,7392
AER,MurderRates,Determinants of Murder Rates in the United States,7376
vegan,dune.phylodis,Taxonomic Classification and Phylogeny of Dune Meadow Species,7344
gamlss.data,sleep,Data on sleep,7328
evd,sealevel,Annual Sea Level Maxima at Dover and Harwich,7320
ade4,olympic,Olympic Decathlon,7312
rebmix,iris,Iris Data Set,7264
ade4,granulo,Granulometric Curves,7256
datasets,iris,Edgar Anderson's Iris Data,7256
datasets,mtcars,Motor Trend Car Road Tests,7208
seriation,Irish,Irish Referendum Data Set,7184
MASS,minn38,Minnesota High School Graduates of 1938,7160
htmlTable,SCB,Average age in Sweden,7144
factoextra,decathlon2,Athletes' performance in decathlon,7128
Lahman,TeamsHalf,TeamsHalf table,7128
cluster,flower,Flower Characteristics,7120
robustbase,milk,Daudin's Milk Composition Data,7072
ordinal,wine,Bitterness of wine,7064
WRS2,essays,Academic Writing Data,7032
broom.helpers,supported_models,Listing of Supported Models,7016
nlme,Tetracycline1,Pharmacokinetics of tetracycline,7016
nlme,Tetracycline2,Pharmacokinetics of tetracycline,7016
vcd,JointSports,Opinions About Joint Sports,7008
wooldridge,hseinv,hseinv,6952
MASS,painters,The Painter's Data of de Piles,6936
ade4,njplot,Phylogeny and trait of bacteria,6912
flexmix,Mehta,Mehta Trial,6912
wooldridge,earns,earns,6872
boot,nuclear,Nuclear Power Station Construction Data,6864
glmnet,SparseExample,Synthetic dataset with sparse design matrix,6856
radiant.multivariate,toothpaste,Toothpaste attitudes,6848
lava,bmd,Longitudinal Bone Mineral Density Data (Wide format),6840
carData,OBrienKaiser,O'Brien and Kaiser's Repeated-Measures Data,6832
sp,meuse.area,River Meuse outline,6824
robustbase,wagnerGrowth,Wagner's Hannover Employment Growth Data,6808
AER,ShipAccidents,Ship Accidents,6784
ggiraphExtra,taco,Taco ratings by age group,6784
multcomp,detergent,Detergent Durability Data Set,6768
qdapRegex,regex_cheat,"A dataset containing the regex chunk name, the regex string, and a description of what the chunk does.",6752
nlme,Gasoline,Refinery yield of gasoline,6752
multcomp,sbp,Systolic Blood Pressure Data,6744
nlme,Cefamandole,Pharmacokinetics of Cefamandole,6744
DescTools,cards,Datasets for Probabilistic Simulation,6728
modelr,sim3,Simple simulated datasets,6704
AER,DJFranses,Dow Jones Index Data (Franses),6624
vcd,Punishment,Corporal Punishment Data,6616
nlme,Wheat,Yields by growing conditions,6616
flexclust,birth,Birth and Death Rates,6584
datasets,LifeCycleSavings,Intercountry Life-Cycle Savings Data,6568
deldir,volTriPoints,Solute plume concentration data set.,6552
vegan,varechem,Vegetation and environment in lichen pastures,6552
ade4,clementines,Fruit Production,6528
robustbase,Animals2,Brain and Body Weights for 65 Species of Land Animals,6512
radiant.model,houseprices,Houseprices,6472
datasets,swiss,Swiss Fertility and Socioeconomic Indicators (1888) Data,6464
lexicon,sw_fry_100,Fry's 100 Most Commonly Used English Words,6448
gamlss.data,species,The Fish Species Data files for GAMLSS,6440
AlgDesign,TGTable3,Trinca Gilmour Table 3,6432
coin,glioma,Malignant Glioma Pilot Study,6432
party,readingSkills,Reading Skills,6416
boot,nitrofen,Toxicity of Nitrofen in Aquatic Systems,6416
ks,unicef,Unicef child mortality - life expectancy data,6408
vegan,BCI.env,Barro Colorado Island Tree Counts,6408
radiant.multivariate,movie,Conjoint data for Movie theaters,6344
ade4,monde84,Global State of the World in 1984,6336
MASS,quine,Absenteeism from School in Rural New South Wales,6320
dslabs,nyc_regents_scores,NYC Regents exams scores 2010,6288
lme4,Pastes,Paste strength by batch and cask,6256
MASS,mammals,Brain and Body Weights for 62 Species of Land Mammals,6256
cluster,ruspini,Ruspini Data,6248
archdata,Acheulean,Seven African Acheulean Sites,6232
wavelets,nile,Yearly Nile River Minima,6224
archdata,BACups,Bronze Age Cups from Italy,6208
dslabs,results_us_election_2016,Fivethirtyeight 2016 Poll Data,6200
textshape,simple_dtm,Simple 'DocumentTermMatrix',6192
ade4,veuvage,Example for Centring in PCA,6184
archdata,EIAGraves,"Early Iron Age Graves - Tell el-Far'ah, Palestine",6184
wooldridge,inven,inven,6168
modeldata,drinks,Sample time series data,6160
ade4,toxicity,Homogeneous Table,6128
lme4,sleepstudy,Reaction times in a sleep deprivation study,6128
VIM,sleep,Mammal sleep data,6128
evd,oldage,Oldest Ages for Swedish Males and Females,6120
boot,capability,Simulated Manufacturing Process Data,6120
robustbase,education,Education Expenditure Data,6112
boot,tau,Tau Particle Decay Modes,6112
vcd,SpaceShuttle,Space Shuttle O-ring Failures,6088
Lahman,LahmanData,Lahman Datasets,6072
carData,LoBD,Cancer drug data use to provide an example of the use of the skew power distributions.,6040
boot,poisons,Animal Survival Times,6040
latticeExtra,EastAuClimate,Climate of the East Coast of Australia,6024
quantreg,gasprice,Time Series of US Gasoline Prices,6024
radiant.multivariate,carpet,Carpet cleaners,6024
ade4,tortues,Morphological Study of the Painted Turtle,6008
wooldridge,campus,campus,5992
carData,Hartnagel,Canadian Crime-Rates Time Series,5984
lme4,Penicillin,Variation in penicillin testing,5984
MASS,synth.tr,Synthetic Classification Problem,5984
vegan,dune.env,Vegetation and Environment in Dutch Dune Meadows.,5968
MASS,UScrime,The Effect of Punishment Regimes on Crime Rates,5968
datasets,esoph,"Smoking, Alcohol and (O)esophageal Cancer",5952
DiagrammeR,node_list_2,Node list - Version 2.,5928
modeldata,solubility_test,Solubility predictions from MARS model,5920
yardstick,solubility_test,Solubility Predictions from MARS Model,5920
lmtest,moneydemand,Money Demand,5912
timetk,m4_quarterly,Sample of 4 Quarterly Time Series Datasets from the M4 Competition,5904
datasets,Indometh,Pharmacokinetics of Indomethacin,5904
HardyWeinberg,Markers,SNP data and intensities,5896
urca,ecb,Macroeconomic data of the Euro Zone,5896
yarrr,diamonds,diamonds,5888
PMCMRplus,Pentosan,Pentosan Dataset,5880
radiant.multivariate,mp3,Conjoint data for MP3 players,5880
MASS,GAGurine,Level of GAG in Urine of Children,5872
archdata,PitHouses,Late Stone Age and Early Sami Iron Age Pithouses in Arctic Norway,5864
carData,Angell,Moral Integration of American Cities,5864
emmeans,MOats,Oats data in multivariate form,5832
carData,Moore,"Status, Authoritarianism, and Conformity",5816
datasets,iris3,Edgar Anderson's Iris Data,5816
AER,StrikeDuration,Strike Durations,5808
carData,Robey,Fertility and Contraception,5800
lexicon,modal_loughran_mcdonald,Loughran-McDonald Modal List,5792
radiant.model,ratings,Movie ratings,5776
coin,neuropathy,Acute Painful Diabetic Neuropathy,5760
qdapRegex,regex_supplement,Supplemental Canned Regular Expressions,5752
datasets,freeny,Freeny's Revenue Data,5752
gamlss.data,usair,US air pollution data set,5736
datasets,USArrests,Violent Crime Rates by US State,5736
mlr,phoneme.task,Phoneme functional data multilabel classification task.,5728
ca,author,Author dataset,5720
ade4,macon,Wine Tasting,5712
pan,marijuana,A pilot study of the clinical and psychological effects of maarijuana,5688
babynames,applicants,Applicants.,5648
flexmix,betablocker,Clinical Trial of Beta-Blockers,5648
MASS,geyser,Old Faithful Geyser Data,5640
nlme,Rail,Evaluation of Stress in Railway Rails,5640
mlr,yeast.task,Yeast multilabel classification task.,5632
robustbase,epilepsy,Epilepsy Attacks Data Set,5632
datasets,airquality,New York Air Quality Measurements,5632
vcd,Trucks,Truck Accidents Data,5624
WRS2,diet,Diet and Weight Loss,5624
carData,Duncan,Duncan's Occupational Prestige Data,5608
DiagrammeR,edge_list_2,Edge list - Version 2.,5576
ade4,chatcat,Qualitative Weighted Variables,5568
vcd,VisualAcuity,Visual Acuity in Left and Right Eyes,5560
VIM,food,Food consumption,5560
datasets,precip,Annual Precipitation in US Cities,5560
stringr,fruit,Sample character vectors for practicing string manipulations,5552
robustbase,pulpfiber,Pulp Fiber and Paper Data,5536
tseries,USeconomic,U.S. Economic Variables,5536
interp,franke,Test datasets from Franke for interpolation of scattered data,5512
mlr,iris.task,Iris classification task.,5488
psych,Chen,12 variables created by Schmid and Leiman to show the Schmid-Leiman Transformation,5472
mlr,bc.task,Wisconsin Breast Cancer classification task.,5456
mlr,pid.task,PimaIndiansDiabetes classification task.,5440
afex,md_16.4,Data 16.4 from Maxwell & Delaney,5432
carData,Highway1,Highway Accidents,5432
mlr,sonar.task,Sonar classification task.,5416
mlr,spam.task,Spam classification task.,5416
FactoMineR,milk,milk,5408
mlr,gunpoint.task,Gunpoint functional data classification task.,5408
ade4,tithonia,Phylogeny and quantitative traits of flowers,5392
modeldata,covers,Raw cover type data,5392
AER,PepperPrice,Black and White Pepper Prices,5384
carData,Anscombe,U. S. State Public-School Expenditures,5384
multcomp,cholesterol,Cholesterol Reduction Data Set,5360
dslabs,death_prob,2015 US Period Life Table,5336
boot,tuna,Tuna Sighting Data,5328
ade4,procella,Phylogeny and quantitative traits of birds,5296
DiceDesign,OA131_scrambled,A scrambled 3D orthogonal array of strength 2,5288
AlgDesign,CCTable11.1a,Cochran and Cox design,5272
afex,md_15.1,Data 15.1 / 11.5 from Maxwell & Delaney,5248
lexicon,key_rating,Ratings Data Set,5232
psych,Bechtoldt,Seven data sets showing a bifactor solution.,5232
psych,Bechtoldt.1,Seven data sets showing a bifactor solution.,5232
psych,Bechtoldt.2,Seven data sets showing a bifactor solution.,5232
datasets,Orange,Growth of Orange Trees,5232
tidyr,fish_encounters,Fish encounters,5216
MASS,Rabbit,Blood Pressure in Rabbits,5216
datasets,faithful,Old Faithful Geyser Data,5208
coin,mercuryfish,Chromosomal Effects of Mercury-Contaminated Fish Consumption,5192
archdata,EndScrapers,"Upper Paleolithic End Scrapers from Castenet A and Ferrassie H, France",5176
partykit,HuntingSpiders,Abundance of Hunting Spiders,5168
archdata,OxfordPots,Distribution of Late Romano-British Oxford Pottery,5128
MASS,waders,Counts of Waders at 15 Sites in South Africa,5064
lexicon,profanity_banned,bannedwordlist.com's List of Profane Words,5056
MASS,housing,Frequency Table from a Copenhagen Housing Conditions Survey,5056
AER,CigarettesB,Cigarette Consumption Data,5024
Lahman,pitchingLabels,Variable Labels,5024
kernlab,spirals,Spirals Dataset,5016
emmeans,nutrition,Nutrition data,4992
boot,fir,Counts of Balsam-fir Seedlings,4976
